TABELA,CIDADE,REGIÃO
RS - INTERIOR,TEUTONIA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,COLINAS,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,LAJEADO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SANTA CLARA DO SUL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SERIO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,BOQUEIRÃO DO LEÃO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,PROGRESSO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CRUZEIRO DO SUL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CAPITÃO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,ARROIO DO MEIO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,POUSO NOVO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,TRAVESSEIRO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,NOVA BRESCIA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,ENCANTADO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,RELVADO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,MUCUM,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,PUTINGA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,ANTA GORDA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,NOVA ALVORADA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,ILOPOLIS,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,ARVOREZINHA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,ITAPUCA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,PELOTAS (VER CEP POR LOGRADOUROS),DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
